"Date","Name","Open","High","Low","Close"
"2016-03-25","EUR to HUF","309.74000","314.40000","309.40000","313.52000"
"2016-03-18","EUR to HUF","310.08000","312.13000","309.25000","309.25000"
"2016-03-11","EUR to HUF","308.33000","311.59000","307.78000","309.64000"
"2016-03-04","EUR to HUF","311.05000","311.63000","307.22000","308.01000"
"2016-02-26","EUR to HUF","308.57000","311.97000","306.48000","311.18000"
"2016-02-19","EUR to HUF","309.95000","311.91000","307.95000","308.35000"
"2016-02-12","EUR to HUF","309.22000","312.96000","308.79000","309.48000"
"2016-02-05","EUR to HUF","310.80000","312.11000","308.60000","309.41000"
"2016-01-29","EUR to HUF","311.63000","314.67000","310.24000","310.98000"
"2016-01-22","EUR to HUF","315.21000","316.33000","310.77000","310.77000"
"2016-01-15","EUR to HUF","316.07000","319.13000","313.34000","314.99000"
"2016-01-08","EUR to HUF","315.83000","316.97000","312.02000","316.91000"
"2015-12-25","EUR to HUF","313.87000","316.47000","312.69000","316.23000"
"2015-12-18","EUR to HUF","316.64000","317.88000","312.78000","313.38000"
"2015-12-11","EUR to HUF","312.37000","318.09000","311.00000","317.09000"
"2015-12-04","EUR to HUF","311.61000","314.15000","309.36000","312.28000"
"2015-11-27","EUR to HUF","310.67000","312.63000","309.90000","311.90000"
"2015-11-20","EUR to HUF","311.42000","312.31000","308.63000","310.37000"
"2015-11-13","EUR to HUF","314.41000","315.25000","310.85000","311.28000"
"2015-11-06","EUR to HUF","310.24000","315.32000","309.81000","314.60000"
"2015-10-30","EUR to HUF","311.64000","312.90000","309.13000","310.52000"
"2015-10-23","EUR to HUF","309.79000","312.14000","308.45000","311.66000"
"2015-10-16","EUR to HUF","311.26000","312.04000","308.35000","309.91000"
"2015-10-09","EUR to HUF","311.70000","313.86000","310.21000","310.50000"
"2015-10-02","EUR to HUF","314.53000","315.98000","311.13000","311.44000"
"2015-09-25","EUR to HUF","310.36000","315.73000","309.17000","314.77000"
"2015-09-18","EUR to HUF","313.21000","313.93000","309.28000","310.66000"
"2015-09-11","EUR to HUF","313.68000","316.19000","312.49000","312.68000"
"2015-09-04","EUR to HUF","313.85000","315.66000","311.15000","313.45000"
"2015-08-28","EUR to HUF","312.97000","316.92000","310.87000","313.89000"
"2015-08-21","EUR to HUF","310.46000","315.33000","308.14000","314.59000"
"2015-08-14","EUR to HUF","310.48000","312.86000","309.11000","309.11000"
"2015-08-07","EUR to HUF","307.06000","311.47000","306.71000","309.66000"
"2015-07-31","EUR to HUF","311.29000","312.44000","306.74000","307.31000"
"2015-07-24","EUR to HUF","308.99000","311.67000","306.72000","311.11000"
